categorias,codigo_categoria,codigo_cliente_fornecedor,codigo_lancamento_integracao,codigo_lancamento_omie,codigo_tipo_documento,data_emissao,data_previsao,data_registro,data_vencimento,distribuicao,id_conta_corrente,id_origem,nCodOS,numero_documento,numero_documento_fiscal,numero_parcela,numero_pedido,operacao,retem_cofins,retem_csll,retem_inss,retem_ir,retem_iss,retem_pis,status_titulo,tipo_agrupamento,valor_cofins,valor_csll,valor_documento,valor_ir,valor_pis,boleto.cGerado,boleto.cNumBancario,boleto.cNumBoleto,boleto.dDtEmBol,boleto.nPerJuros,boleto.nPerMulta,info.cImpAPI,info.dAlt,info.dInc,info.hAlt,info.hInc,info.uAlt,info.uInc,cNumeroContrato,codigo_barras_ficha_compensacao,bloqueado,bloquear_baixa,valor_iss,bloquear_exclusao,codigo_vendedor,Minha Empresa Nome,Minha Empresa CNPJ
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 565}]",1.01.01,1800441181,,1942822611,BOL,08/12/2022,15/12/2022,08/12/2022,08/12/2022,[],1801365323,VENR,1942822363.0,RPS 959,202200000001204,001/001,1100,01,S,S,N,S,N,S,CANCELADO,I,16.95,5.65,565.0,8.48,3.67,N,,,,1,2,N,04/08/2023,08/12/2022,18:10:08,15:58:56,P000424166,P000424166,593,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.05.99', 'percentual': 100, 'valor': 382.37}]",1.05.99,1942837923,,1942896776,NFS,09/12/2022,16/01/2023,09/12/2022,20/12/2022,"[{'cCodDep': '1800166437', 'cDesDep': 'Adm/Financeiro', 'nPerDep': 10, 'nValDep': 38.24}, {'cCodDep': '1800166438', 'cDesDep': 'Comercial e Marketing', 'nPerDep': 10, 'nValDep': 38.24}, {'cCodDep': '1800166440', 'cDesDep': 'Operacional', 'nPerDep': 12.5, 'nValDep': 47.8}, {'cCodDep': '1800170855', 'cDesDep': 'Fiscal', 'nPerDep': 20, 'nValDep': 76.47}, {'cCodDep': '1800170857', 'cDesDep': 'Contábil', 'nPerDep': 20, 'nValDep': 76.47}, {'cCodDep': '1800170859', 'cDesDep': 'DP', 'nPerDep': 20, 'nValDep': 76.47}, {'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 7.5, 'nValDep': 28.68}]",1801365323,VENR,1942837878.0,RPS 960,202200000001205,001/001,1101,01,N,N,N,N,N,N,RECEBIDO,I,,,382.37,,,N,,,,0,0,N,10/03/2023,09/12/2022,15:34:36,14:52:32,P000516964,P000424166,,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 100, 'valor': 1704.4}]",1.01.02,1942904231,,1942904892,NFS,09/12/2022,02/01/2023,09/12/2022,15/12/2022,"[{'cCodDep': '1800166437', 'cDesDep': 'Adm/Financeiro', 'nPerDep': 10, 'nValDep': 170.44}, {'cCodDep': '1800166438', 'cDesDep': 'Comercial e Marketing', 'nPerDep': 10, 'nValDep': 170.44}, {'cCodDep': '1800166440', 'cDesDep': 'Operacional', 'nPerDep': 12.5, 'nValDep': 213.05}, {'cCodDep': '1800170855', 'cDesDep': 'Fiscal', 'nPerDep': 20, 'nValDep': 340.88}, {'cCodDep': '1800170857', 'cDesDep': 'Contábil', 'nPerDep': 20, 'nValDep': 340.88}, {'cCodDep': '1800170859', 'cDesDep': 'DP', 'nPerDep': 20, 'nValDep': 340.88}, {'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 7.5, 'nValDep': 127.83}]",1801365323,VENR,1942904746.0,RPS 962,202200000001206,001/001,1103,01,S,S,N,S,N,S,RECEBIDO,I,51.13,17.04,1704.4,25.57,11.08,N,,,,0,0,N,14/03/2023,09/12/2022,12:00:03,16:13:37,P000516964,P000424166,,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 300}]",1.01.01,1801298143,,1953941798,BOL,13/12/2022,29/12/2022,13/12/2022,16/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 300}]",1801365323,VENR,1953940921.0,RPS 963,202200000001207,001/001,1104,01,S,S,N,N,N,S,RECEBIDO,I,9.0,3.0,300.0,,1.95,N,,,,1,2,N,20/02/2023,13/12/2022,10:44:42,14:03:35,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 990}]",1.01.01,1800441215,,1953954709,BOL,13/12/2022,19/12/2022,13/12/2022,13/12/2022,[],1801365323,VENR,1953954628.0,RPS 964,202200000001208,001/001,1108,01,S,S,N,S,N,S,RECEBIDO,I,29.7,9.9,990.0,14.85,6.44,N,,,,1,2,N,21/12/2022,13/12/2022,08:58:40,15:23:23,P000424166,P000424166,618,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441341,,1953980827,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953980530.0,RPS 965,202200000001209,001/001,1116,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:25,17:46:08,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441075,,1953980904,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953949497.0,RPS 966,202200000001210,001/001,1105,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:24,17:46:18,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441080,,1953981038,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953953327.0,RPS 967,202200000001211,001/001,1106,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:24,17:47:21,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.05.97', 'percentual': 100, 'valor': 650}]",1.05.97,1800441459,,1953981053,BOL,13/12/2022,20/12/2022,13/12/2022,15/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 650}]",1801365323,VENR,1953966333.0,RPS 968,202200000001212,001/002,1109,01,S,S,N,S,N,S,RECEBIDO,I,39.0,13.0,650.0,19.5,8.45,N,,,,1,2,N,22/12/2022,13/12/2022,10:17:32,17:47:30,P000424166,P000424166,,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.05.97', 'percentual': 100, 'valor': 650}]",1.05.97,1800441459,,1953981054,BOL,13/12/2022,16/01/2023,13/12/2022,16/01/2023,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 650}]",1801365323,VENR,1953966333.0,RPS 968,202200000001212,002/002,1109,01,N,N,N,N,N,N,RECEBIDO,I,,,650.0,,,S,109/00291242-8,291242,13/12/2022,1,2,N,17/02/2023,13/12/2022,17:03:42,17:47:30,P000424166,P000424166,,34191.09008 29124.280321 89964.000007 9 92320000065000,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441102,,1953981079,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953970452.0,RPS 969,202200000001213,001/001,1110,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:24,17:47:41,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441094,,1953981101,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953971298.0,RPS 970,202200000001214,001/001,1111,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:23,17:47:49,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1801298111,,1953981129,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953973618.0,RPS 971,202200000001215,001/001,1112,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:23,17:48:03,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441098,,1953981141,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953973778.0,RPS 972,202200000001216,001/001,1113,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:23,17:48:12,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441086,,1953981152,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953976967.0,RPS 973,202200000001217,001/001,1114,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:22,17:48:20,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441114,,1953981161,BOL,13/12/2022,26/12/2022,13/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1953977175.0,RPS 974,202200000001218,001/001,1115,01,S,S,N,N,N,S,CANCELADO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,15/12/2022,13/12/2022,09:29:22,17:48:28,P000424166,P000424166,623,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441094,,1954101765,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954097378.0,RPS 975,202200000001219,001/001,1121,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291249-3,291249,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:29,10:23:58,P000424166,P000424166,623,34191.09008 29124.930321 89964.000007 3 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441114,,1954101910,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954095939.0,RPS 976,202200000001220,001/001,1117,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291250-1,291250,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:28,10:24:20,P000424166,P000424166,623,34191.09008 29125.010321 89964.000007 3 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441075,,1954101996,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954098484.0,RPS 977,202200000001221,001/001,1124,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291251-9,291251,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:28,10:24:32,P000424166,P000424166,623,34191.09008 29125.190321 89964.000007 5 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441086,,1954102155,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954096140.0,RPS 978,202200000001222,001/001,1118,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291252-7,291252,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:27,10:24:52,P000424166,P000424166,623,34191.09008 29125.270321 89964.000007 1 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441102,,1954102227,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954097664.0,RPS 979,202200000001223,001/001,1122,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291253-5,291253,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:27,10:25:06,P000424166,P000424166,623,34191.09008 29125.350321 89964.000007 6 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441080,,1954102356,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954097998.0,RPS 980,202200000001224,001/001,1123,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291254-3,291254,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:27,10:25:25,P000424166,P000424166,623,34191.09008 29125.430321 89964.000007 1 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441098,,1954102412,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954096477.0,RPS 981,202200000001225,001/001,1119,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291255-0,291255,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:26,10:25:37,P000424166,P000424166,623,34191.09008 29125.500321 89964.000007 3 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1801298111,,1954102458,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954096837.0,RPS 982,202200000001226,001/001,1120,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291256-8,291256,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:26,10:25:46,P000424166,P000424166,623,34191.09008 29125.680321 89964.000007 5 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441341,,1954102518,BOL,14/12/2022,26/12/2022,14/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954099885.0,RPS 983,202200000001227,001/001,1125,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291257-6,291257,14/12/2022,1,2,N,27/12/2022,14/12/2022,10:25:25,10:25:58,P000424166,P000424166,623,34191.09008 29125.760321 89964.000007 1 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 471.85}]",1.01.97,1800441046,,1954415908,BOL,14/12/2022,26/12/2022,14/12/2022,20/12/2022,[],1801365323,VENR,1954415783.0,RPS 984,202200000001228,001/001,1126,01,N,N,N,N,N,N,RECEBIDO,I,,,471.85,,,S,109/00291258-4,291258,15/12/2022,1,2,N,21/12/2022,14/12/2022,08:58:39,17:32:00,P000424166,P000424166,487,34191.09008 29125.840321 89964.000007 2 92110000047185,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 471.85}]",1.01.97,1800441046,,1954418708,BOL,14/12/2022,26/12/2022,14/12/2022,14/12/2022,[],1801365323,VENR,1954418230.0,RPS 985,202200000001229,001/001,1127,01,N,N,N,N,N,N,RECEBIDO,I,,,471.85,,,S,109/00291259-2,291259,17/01/2023,1,2,N,18/01/2023,14/12/2022,09:13:44,17:43:54,P000516964,P000424166,487,34191.09008 29125.920321 89964.000007 1 92110000048481,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.97', 'percentual': 100, 'valor': 150}]",1.01.97,1800441118,,1954951801,BOL,15/12/2022,26/12/2022,15/12/2022,26/12/2022,"[{'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 100, 'nValDep': 150}]",1801365323,VENR,1954951758.0,RPS 986,202200000001230,001/001,1128,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,S,109/00291290-7,291290,26/12/2022,1,2,N,27/12/2022,15/12/2022,10:25:25,19:15:51,P000424166,P000424166,623,34191.09008 29129.070321 89964.000007 2 92110000014302,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.02', 'percentual': 72.706935, 'valor': 325}, {'codigo_categoria': '1.04.99', 'percentual': 27.293065, 'valor': 122}]",,1891772147,,1955144038,BOL,16/12/2022,28/12/2022,16/12/2022,19/12/2022,[],1801365323,VENR,1955143991.0,"RPS 23, 987",202200000001231,001/001,1129,01,S,S,N,S,N,S,RECEBIDO,I,9.75,3.25,447.0,4.88,2.11,N,,,,1,2,N,30/12/2022,16/12/2022,09:13:21,15:49:57,P000424166,P000424166,2022/00008,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 2357.5}]",1.01.01,1801298119,,1964132101,BOL,21/12/2022,29/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964131652.0,RPS 988,202200000001232,001/001,1130,01,S,S,N,S,N,S,RECEBIDO,I,70.73,23.58,2357.5,35.36,15.32,N,,,,1,2,N,30/12/2022,21/12/2022,09:17:57,12:52:47,P000424166,P000424166,584,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 290}]",1.01.01,1800441199,,1964172389,BOL,21/12/2022,16/01/2023,21/12/2022,27/12/2022,[],1801365323,VENR,1964142806.0,RPS 989,202200000001233,001/001,1143,01,S,S,N,S,N,S,CANCELADO,I,8.7,2.9,290.0,4.35,1.89,N,,,,1,2,N,12/01/2023,21/12/2022,09:45:13,16:18:17,P000516964,P000424166,600,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 96.231078, 'valor': 3115}, {'codigo_categoria': '1.04.99', 'percentual': 3.768922, 'valor': 122}]",,1800441133,,1964197225,BOL,21/12/2022,22/12/2022,21/12/2022,20/01/2023,[],1801365323,VENR,1964197210.0,"RPS 24, 990",202200000001234,001/001,1146,01,S,S,N,S,N,S,RECEBIDO,I,93.45,31.15,3237.0,46.73,20.25,S,109/00291264-2,291264,21/12/2022,1,2,N,23/12/2022,21/12/2022,08:27:42,19:47:40,P000424166,P000424166,579,34191.09008 29126.420321 89964.000007 9 92070000304542,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 225}]",1.01.01,1800441211,,1964202022,BOL,21/12/2022,27/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964134749.0,RPS 991,202200000001235,001/001,1131,01,S,S,N,N,N,S,CANCELADO,I,6.75,2.25,225.0,,1.46,N,,,,1,2,N,30/01/2023,21/12/2022,09:33:33,20:45:50,P000516964,P000424166,617,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 150}]",1.01.01,1801298159,,1964202091,BOL,21/12/2022,16/02/2023,21/12/2022,27/12/2022,[],1801365323,VENR,1964137568.0,RPS 992,202200000001236,001/001,1132,01,S,S,N,N,N,S,RECEBIDO,I,4.5,1.5,150.0,,0.98,N,,,,1,2,N,20/02/2023,21/12/2022,10:44:42,20:46:05,P000424166,P000424166,718,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 172.5}]",1.01.01,1801298171,,1964202109,BOL,21/12/2022,28/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964137973.0,RPS 993,202200000001237,001/001,1133,01,S,S,N,N,N,S,RECEBIDO,I,5.18,1.73,172.5,,1.12,N,,,,1,2,N,30/12/2022,21/12/2022,09:13:21,20:46:11,P000424166,P000424166,869,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 227.5}]",1.01.01,1800441185,,1964202130,BOL,21/12/2022,27/01/2023,21/12/2022,27/12/2022,"[{'cCodDep': '1800166437', 'cDesDep': 'Adm/Financeiro', 'nPerDep': 10, 'nValDep': 22.75}, {'cCodDep': '1800166440', 'cDesDep': 'Operacional', 'nPerDep': 12.5, 'nValDep': 28.44}, {'cCodDep': '1800170850', 'cDesDep': 'Sucesso do Cliente', 'nPerDep': 10, 'nValDep': 22.75}, {'cCodDep': '1800170855', 'cDesDep': 'Fiscal', 'nPerDep': 20, 'nValDep': 45.5}, {'cCodDep': '1800170857', 'cDesDep': 'Contábil', 'nPerDep': 20, 'nValDep': 45.5}, {'cCodDep': '1800170859', 'cDesDep': 'DP', 'nPerDep': 20, 'nValDep': 45.5}, {'cCodDep': '1800170861', 'cDesDep': 'Societário', 'nPerDep': 7.5, 'nValDep': 17.06}]",1801365323,VENR,1964138122.0,RPS 994,202200000001238,001/001,1134,01,S,S,N,N,N,S,RECEBIDO,I,6.83,2.28,227.5,,1.48,N,,,,1,2,N,21/03/2023,21/12/2022,09:04:41,20:46:18,P000516964,P000424166,594,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 507.5}]",1.01.01,1800441181,,1964202149,BOL,21/12/2022,27/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964138216.0,RPS 995,202200000001239,001/001,1135,01,S,S,N,S,N,S,CANCELADO,I,15.23,5.08,507.5,7.61,3.3,N,,,,1,2,N,04/08/2023,21/12/2022,18:09:30,20:46:24,P000424166,P000424166,593,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 217.5}]",1.01.01,1801298151,,1964202160,BOL,21/12/2022,28/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964139402.0,RPS 996,202200000001240,001/001,1136,01,S,S,N,N,N,S,RECEBIDO,I,6.53,2.18,217.5,,1.41,N,,,,1,2,N,30/12/2022,21/12/2022,09:13:20,20:46:31,P000424166,P000424166,714,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 1647.5}]",1.01.01,1800441133,,1964202182,BOL,21/12/2022,27/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964139577.0,RPS 997,202200000001241,001/001,1137,01,S,S,N,S,N,S,RECEBIDO,I,49.43,16.48,1647.5,24.71,10.71,S,109/00291271-7,291271,21/12/2022,1,2,N,28/12/2022,21/12/2022,09:01:32,20:46:37,P000424166,P000424166,579,34191.09008 29127.170321 89964.000007 3 92120000154617,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 890}]",1.01.01,1800441146,,1964202191,BOL,21/12/2022,28/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964139658.0,RPS 998,202200000001242,001/001,1138,01,S,S,N,N,N,S,RECEBIDO,I,26.7,8.9,890.0,,5.79,N,,,,1,2,N,30/12/2022,21/12/2022,09:13:20,20:46:44,P000424166,P000424166,582,,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 950}]",1.01.01,1800441138,,1964202199,BOL,21/12/2022,27/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964140049.0,RPS 999,202200000001243,001/001,1140,01,S,S,N,S,N,S,RECEBIDO,I,28.5,9.5,950.0,14.25,6.18,S,109/00291273-3,291273,21/12/2022,1,2,N,26/12/2022,21/12/2022,09:09:45,20:46:50,P000424166,P000424166,581,34191.09008 29127.330321 89964.000007 3 92120000089157,,,,,,E-contábil,42.974.955/0001-90
"[{'codigo_categoria': '1.01.01', 'percentual': 100, 'valor': 587.5}]",1.01.01,1801298135,,1964202213,BOL,21/12/2022,27/12/2022,21/12/2022,27/12/2022,[],1801365323,VENR,1964140237.0,RPS 1000,202200000001244,001/001,1141,01,S,S,N,S,N,S,RECEBIDO,I,17.63,5.88,587.5,8.81,3.82,S,109/00291274-1,291274,21/12/2022,1,2,N,28/12/2022,21/12/2022,09:01:32,20:46:56,P000424166,P000424166,602,34191.09008 29127.410321 89964.000007 1 92120000055136,,,,,,E-contábil,42.974.955/0001-90
